Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Modified Countries,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23912.01,Coffee substitutes,2019,2019,tonnes,0.9,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23912.01,Coffee substitutes,2020,2020,tonnes,0.45,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23912.01,Coffee substitutes,2021,2021,tonnes,1.08,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,23.86,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,13.87,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,89.55,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,43.16,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,44700.25,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,48542.8,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,49754.21,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,250,France,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,47265.7,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,1204.45,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,1045.93,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,979.54,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,930.1,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,23912.01,Coffee substitutes,2018,2018,tonnes,0.34,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,23912.01,Coffee substitutes,2020,2020,tonnes,0.02,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,23912.01,Coffee substitutes,2021,2021,tonnes,0.01,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2018,2018,tonnes,22.71,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2019,2019,tonnes,10,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2020,2020,tonnes,1.37,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,23911,"Coffee, decaffeinated or roasted",2021,2021,tonnes,21.72,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,EU,1610,"Coffee, green",2018,2018,tonnes,323540.5,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,1610,"Coffee, green",2019,2019,tonnes,383923.51,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,1610,"Coffee, green",2020,2020,tonnes,441014.06,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,276,Germany,5910,Export Quantity,,1610,"Coffee, green",2021,2021,tonnes,404045.92,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,23912.02,Coffee extracts,2018,2018,tonnes,37.42,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,23912.02,Coffee extracts,2019,2019,tonnes,1.05,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,23912.02,Coffee extracts,2020,2020,tonnes,18.43,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,23912.02,Coffee extracts,2021,2021,tonnes,37.43,I,Imputed value,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,23912.01,Coffee substitutes,2019,2019,tonnes,0.01,A,Official figure,,
TM,Detailed trade matrix,76,Brazil,300,Greece,5910,Export Quantity,,23912.01,Coffee substitutes,2020,2020,tonnes,0.21,I,Imputed value,,
