Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2015","2015","tonnes","81.23","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2016","2016","tonnes","80.66","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2017","2017","tonnes","62.33","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2018","2018","tonnes","74.53","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2019","2019","tonnes","82.97","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2020","2020","tonnes","405.17","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2021","2021","tonnes","120.34","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","01610","Coffee, green","2011","2011","tonnes","6644","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","01610","Coffee, green","2012","2012","tonnes","4718","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","01610","Coffee, green","2013","2013","tonnes","3259","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","01610","Coffee, green","2014","2014","tonnes","2687.05","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","01610","Coffee, green","2015","2015","tonnes","6974.21","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","01610","Coffee, green","2016","2016","tonnes","8951.61","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","01610","Coffee, green","2017","2017","tonnes","8013.7","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","01610","Coffee, green","2018","2018","tonnes","8010.06","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","01610","Coffee, green","2019","2019","tonnes","5919.58","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","01610","Coffee, green","2020","2020","tonnes","3360.62","A","Official figure"
"TM","Detailed trade matrix","156","China, mainland","840","United States of America","5910","Export Quantity","01610","Coffee, green","2021","2021","tonnes","3851.99","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2011","2011","tonnes","10061","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2012","2012","tonnes","4595","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2013","2013","tonnes","4649","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2014","2014","tonnes","4115.91","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2015","2015","tonnes","4361.71","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2016","2016","tonnes","5215.46","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2017","2017","tonnes","5207.19","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2018","2018","tonnes","5718.09","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2019","2019","tonnes","6373.58","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2020","2020","tonnes","6558.9","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2021","2021","tonnes","7311","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2011","2011","tonnes","1","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2012","2012","tonnes","2","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2013","2013","tonnes","3","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2014","2014","tonnes","2.21","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2015","2015","tonnes","2.26","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2016","2016","tonnes","2.13","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2017","2017","tonnes","3.12","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2018","2018","tonnes","5.35","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2019","2019","tonnes","6.13","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2020","2020","tonnes","23.56","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23912.01","Coffee substitutes","2021","2021","tonnes","0.72","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2011","2011","tonnes","2939","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2012","2012","tonnes","3741","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2013","2013","tonnes","3330","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2014","2014","tonnes","3697.71","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2015","2015","tonnes","4139.96","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2016","2016","tonnes","3962.26","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2017","2017","tonnes","6958.52","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2018","2018","tonnes","7045.21","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2019","2019","tonnes","11787.43","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2020","2020","tonnes","8419.11","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","23911","Coffee, decaffeinated or roasted","2021","2021","tonnes","9151.17","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","01610","Coffee, green","2011","2011","tonnes","184852","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","01610","Coffee, green","2012","2012","tonnes","164181","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","01610","Coffee, green","2013","2013","tonnes","238494","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","01610","Coffee, green","2014","2014","tonnes","257806.76","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","01610","Coffee, green","2015","2015","tonnes","293410.89","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","01610","Coffee, green","2016","2016","tonnes","301763.72","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","01610","Coffee, green","2017","2017","tonnes","311692.59","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","01610","Coffee, green","2018","2018","tonnes","319041.83","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","01610","Coffee, green","2019","2019","tonnes","327667.34","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","01610","Coffee, green","2020","2020","tonnes","283766.7","A","Official figure"
"TM","Detailed trade matrix","170","Colombia","840","United States of America","5910","Export Quantity","01610","Coffee, green","2021","2021","tonnes","284124.44","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2011","2011","tonnes","2","A","Official figure"
"TM","Detailed trade matrix","188","Costa Rica","840","United States of America","5910","Export Quantity","23912.02","Coffee extracts","2012","2012","tonnes","0","A","Official figure"
